month,rain_days,rain_amount,humidity,sun_hrs,mean_temp
1992-07-01,19,290.8,83.8,4.7,27.3
1992-08-01,11,76.1,81.1,5.7,27.8
1992-09-01,13,83.6,82.9,5.0,27.3
1992-10-01,20,233.2,82.0,4.5,27.4
1992-11-01,18,474.3,87.7,3.7,26.1
1992-12-01,23,502.7,90.3,3.4,25.5
1993-01-01,11,176.4,85.7,5.5,26.2
1993-02-01,8,69.2,80.5,8.5,26.7
1993-03-01,14,250.5,86.3,5.4,26.7
1993-04-01,20,283.9,84.5,6.4,27.6
1993-05-01,10,129.9,82.9,6.0,28.2
1993-06-01,17,115.5,80.9,6.2,28.5
1993-07-01,15,240.0,83.2,5.2,27.9
1993-08-01,11,106.8,79.4,7.4,28.6
1993-09-01,7,61.7,81.4,5.9,27.9
1993-10-01,13,175.5,84.3,5.2,27.5
1993-11-01,18,250.8,87.4,4.7,26.9
1993-12-01,19,308.5,87.4,4.2,26.5
1994-01-01,7,56.9,82.1,6.1,26.9
1994-02-01,15,133.5,84.5,6.4,27.0
1994-03-01,19,288.2,87.1,3.5,26.8
1994-04-01,15,154.0,84.8,5.8,27.9
1994-05-01,16,169.6,84.8,5.0,28.1
1994-06-01,14,184.7,83.5,6.0,28.1
1994-07-01,6,53.8,78.9,7.6,28.4
1994-08-01,12,45.1,80.0,6.5,28.1
1994-09-01,6,23.7,78.7,3.8,28.3
1994-10-01,11,84.7,81.5,4.5,27.9
1994-11-01,21,322.2,88.4,4.5,26.7
1994-12-01,18,425.4,85.5,5.3,26.9
1995-01-01,21,349.4,86.2,5.0,26.8
1995-02-01,16,334.0,87.5,4.9,26.5
1995-03-01,10,67.7,83.9,5.9,27.6
1995-04-01,16,242.3,85.3,5.6,27.9
1995-05-01,11,84.4,83.7,6.0,28.5
1995-06-01,12,63.7,81.9,6.6,28.9
1995-07-01,13,173.6,82.6,5.2,28.0
1995-08-01,21,211.6,85.6,4.1,27.4
1995-09-01,7,29.5,81.6,5.8,28.3
1995-10-01,12,101.1,82.8,4.7,27.8
1995-11-01,20,372.8,86.8,3.7,27.0
1995-12-01,20,302.5,86.6,3.1,26.3
1996-01-01,10,173.2,84.2,5.2,26.2
1996-02-01,11,180.2,84.6,5.8,26.5
1996-03-01,8,129.7,81.0,7.7,27.8
1996-04-01,15,178.2,85.5,5.4,27.8
1996-05-01,15,107.5,83.7,7.0,28.5
1996-06-01,15,265.8,84.3,5.9,28.3
1996-07-01,10,162.3,81.9,6.7,28.3
1996-08-01,18,258.4,83.4,5.0,27.4
1996-09-01,18,297.0,82.2,4.8,27.7
1996-10-01,19,300.0,83.0,4.3,27.5
1996-11-01,16,180.2,83.5,4.4,27.3
1996-12-01,15,185.5,82.9,4.5,26.6
1997-01-01,3,15.4,77.3,7.7,27.1
1997-02-01,8,105.4,80.8,4.9,27.4
1997-03-01,10,34.3,79.6,7.0,28.1
1997-04-01,12,118.4,82.7,5.6,28.1
1997-05-01,6,41.6,77.7,6.7,29.3
1997-06-01,12,78.9,76.7,7.3,29.3
1997-07-01,9,18.6,76.5,6.5,28.8
1997-08-01,9,86.6,78.2,5.7,28.8
1997-09-01,3,31.1,77.0,3.2,28.8
1997-10-01,8,78.4,81.0,3.2,28.2
1997-11-01,13,158.3,82.8,5.4,27.8
1997-12-01,23,351.9,85.3,5.3,27.3
1998-01-01,13,268.8,83.2,7.4,28.0
1998-02-01,5,32.5,78.3,8.9,28.9
1998-03-01,7,58.8,77.8,7.6,29.5
1998-04-01,13,187.7,81.8,6.7,29.2
1998-05-01,18,370.8,82.3,5.9,29.4
1998-06-01,15,198.8,82.1,5.3,28.6
1998-07-01,18,259.2,81.8,5.1,28.1
1998-08-01,18,195.0,85.4,4.6,27.5
1998-09-01,17,258.2,84.1,4.5,27.9
1998-10-01,20,222.7,82.3,5.0,28.0
1998-11-01,11,107.2,81.9,4.6,27.9
1998-12-01,22,463.4,88.5,3.1,26.6
1999-01-01,19,193.9,88.3,3.9,26.6
1999-02-01,9,67.4,82.4,6.7,27.2
1999-03-01,16,181.4,87.5,4.3,27.1
1999-04-01,14,88.5,82.6,5.8,28.3
1999-05-01,13,157.1,84.4,5.7,28.0
1999-06-01,13,103.4,81.9,6.0,28.2
1999-07-01,11,225.4,82.7,6.8,27.8
1999-08-01,13,204.0,84.1,5.7,27.5
1999-09-01,13,125.9,81.7,6.5,27.9
1999-10-01,20,205.0,84.6,4.7,27.2
1999-11-01,19,241.5,84.4,4.7,27.3
1999-12-01,17,340.5,85.3,4.1,26.8
2000-01-01,14,275.2,86.9,4.0,26.3
2000-02-01,18,237.8,86.5,5.8,26.6
2000-03-01,15,238.3,85.8,5.8,27.2
2000-04-01,20,311.6,85.6,5.3,27.5
2000-05-01,10,96.8,82.4,6.8,28.6
2000-06-01,16,157.5,84.3,4.6,27.6
2000-07-01,12,116.1,82.6,6.5,28.1
2000-08-01,18,113.5,83.8,5.1,27.5
2000-09-01,12,81.1,82.2,6.2,28.0
